ause,bvi_std_mean,calibrated_coverage_95,calibrated_coverage_error,calibrated_gaussian_crps,calibrated_gaussian_nll,calibrated_mpiw_95,calibrated_sample_quantile_coverage_95,calibration_scale,components,coverage_95,crps,data_misfit,ensemble_dispersion_scale,epsilon_mae,epsilon_rmse,event_auprc,event_auroc,event_brier,event_ece,event_prevalence,final_objective,gaussian_nll,global_index,mc_dropout_dispersion_scale,method,mixture_effective_components,mixture_max_weight,model_name,mpiw_95,neural_center,noise_std,normalized_rmse,physics_evaluations,posterior_mean_alpha,posterior_mean_line_search,posterior_mean_policy,posterior_mean_projection_max_error,posterior_mean_selected_label,posterior_precision_condition,posterior_precision_data_trace,posterior_sample_std_mean,posterior_std_prior_actual_mean,posterior_std_prior_requested_mean,posterior_std_prior_scale,sample_quantile_coverage_95,snr_db,split,stage_line_search_gains,stage_line_search_objectives,stage_new_weights,std_error_spearman,trust_std,view,wall_seconds
,,,,,,,,,,,,0.14414624869823456,,0.37979406118392944,0.5208601951599121,,,,,,,,981,,nn,,,model_982.mat,,,,0.06510752439498901,1,,,,,,,,,,,,,10.0,test,,,,,,mixed_10db,0.5176784992218018
0.013820567404745191,,0.833251953125,0.11674804687499996,0.0364627721186036,-0.7812891718608493,0.3093970221078939,0.8263092041015625,7.976083234617511,,0.2011566162109375,0.0428848551837267,0.14413736760616302,,0.381857519436672,0.5232871197733966,0.9115108593241426,0.9612231427994374,0.004562276204427083,0.0041819254557291675,0.0303192138671875,,74.31551109793088,981,,mc_dropout,,,model_982.mat,0.038790595921114564,,,0.06541088997167457,1,,,,,,,,,,,,0.171173095703125,10.0,test,,,,0.27987452503260557,,mixed_10db,0.7932436466217041
0.012340521703603604,,0.9012908935546875,0.048709106445312456,0.037680937168377324,-1.1726242884407847,0.3195995568246429,0.766815185546875,4.708565913660769,,0.3110198974609375,0.04281788939759565,0.1317843496799469,,0.3967604738285672,0.5299032164866679,0.9594417885185597,0.9822271728104621,0.0035980224609375,0.003060913085937502,0.0303192138671875,,14.205069600238343,981,,deep_ensemble,,,model_982.mat,0.06787619896814681,,,0.06623790206083349,1,,,,,,,,,,,,0.204132080078125,10.0,test,,,,0.37121016634127396,,mixed_10db,0.5904302597045898
,,,,,,,,,0,,,0.13694538176059723,,0.37471386790275574,0.5284994840621948,,,,,,3.970466136932373,,981,,residual_map,,,model_982.mat,,,,0.06606243550777435,7,,,,,,1.0,0.0,,,,,,10.0,test,,,,,0.03,mixed_10db,7.567272901535034
0.011051080344684154,,0.9731903076171875,0.023190307617187544,0.03351839308604447,-1.4186684078025504,0.2861260068604154,0.96978759765625,1.912344593926287,0,0.8025970458984375,0.03388253177281549,0.1364278346300125,,0.37355015981781703,0.5276835419000208,0.9098506192042685,0.9659725539964513,0.004643683321774006,0.0026403665542602526,0.0303192138671875,3.9694175720214844,-0.9362977954221101,981,,residual_laplace,,,model_982.mat,0.1496205275179251,,,0.0659604427375026,31,,,,,,5.100558866330929,107.19646911170685,,,,,0.7899017333984375,10.0,test,,,,0.4707890258174382,0.03,mixed_10db,20.837058782577515
0.011061883301700132,0.08300580829381943,0.9867706298828125,0.036770629882812544,0.03390819844617124,-1.5160944693590372,0.26714058979340893,0.821746826171875,0.8191470054346994,2,0.99603271484375,0.035646918397149854,0.11825788766145706,1.8,0.39243442679111507,0.5295501056572703,0.9562150321736731,0.9838705515891533,0.004859346896409988,0.016438961029052734,0.0303192138671875,3.7662320137023926,-1.4524490488848656,981,7.5,neural_bvi,1.0,1.0,model_982.mat,0.3261204497129847,ensemble_calibrated,0.049968719482421875,0.06619376320715879,37,0.0,"[{""label"": ""reference_ensemble_mean"", ""alpha"": null, ""data_rmse"": 0.1317843496799469}, {""label"": ""center"", ""alpha"": 0.0, ""data_rmse"": 0.11825771629810333}, {""label"": ""bvi_alpha_0.025"", ""alpha"": 0.025, ""data_rmse"": 0.11833681911230087}, {""label"": ""bvi_alpha_0.05"", ""alpha"": 0.05, ""data_rmse"": 0.11839460581541061}, {""label"": ""bvi_alpha_0.1"", ""alpha"": 0.1, ""data_rmse"": 0.11850851774215698}, {""label"": ""bvi_alpha_0.2"", ""alpha"": 0.2, ""data_rmse"": 0.11895167827606201}]",physics_line_search,1.7881393432617188e-07,center,,,0.06682819873094559,0.08319398760795593,0.08319398760795593,0.75,0.884735107421875,10.0,test,"[0.0, 0.12470722198486328]","[3.5202062726020813, 3.7662320137023926]","[1.0, 1.0]",0.4291082578418895,0.03,mixed_10db,38.49007201194763
,,,,,,,,,,,,0.2205086648464203,,0.7599653005599976,1.0079635381698608,,,,,,,,364,,nn,,,model_365.mat,,,,0.1259954422712326,1,,,,,,,,,,,,,0.0,test,,,,,,mixed_0db,0.5339667797088623
0.028246157695534884,,0.8948211669921875,0.055178833007812456,0.06623972710088968,0.7859341200247221,0.3942681997906646,0.8464813232421875,7.976083234617511,,0.08245849609375,0.08756647028378209,0.2173517495393753,,0.7547933148805215,1.0021080488808933,0.8842512010238731,0.956467622906117,0.017164103190104165,0.0160186767578125,0.04705810546875,,146.76450622722047,364,,mc_dropout,,,model_365.mat,0.04943130459265563,,,0.12526350611011167,1,,,,,,,,,,,,0.0726318359375,0.0,test,,,,0.34891207282815156,,mixed_0db,0.7566573619842529
0.02275598097013508,,0.910675048828125,0.039324951171874956,0.0653103097991337,0.0068902661368572815,0.4882012907389934,0.72406005859375,4.708565913660769,,0.2066497802734375,0.07953956053273259,0.20228110253810883,,0.7363064153978485,0.9407717351704338,0.9011615513222531,0.9685395971654869,0.012554931640625,0.01104736328125,0.04705810546875,,29.40146653323138,364,,deep_ensemble,,,model_365.mat,0.10368364798145925,,,0.11759646689630422,1,,,,,,,,,,,,0.11541748046875,0.0,test,,,,0.3811881956676052,,mixed_0db,0.5798983573913574
,,,,,,,,,0,,,0.2185569554567337,,0.7678295969963074,1.0152820348739624,,,,,,0.8648529052734375,,364,,residual_map,,,model_365.mat,,,,0.1269102543592453,7,,,,,,1.0,0.0,,,,,,0.0,test,,,,,0.03,mixed_0db,7.520102500915527
